CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,OPERADOR,PROVEEDOR,ENTIDAD PEQUEÑA,ÁMBITO GEOGRÁFICO,DEROGACIÓN,TIPO DE LICENCIA,CÓDIGO DE SUPERVISOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ESB73697567,254900GYRB3SRHK4K565,"PAYOK FINANCIAL SERVICES, SOCIEDAD LIMITADA","CL CONCORDIA,39, 30500, MOLINA DE SEGURA",No,Sí,Sí,,Sí,Explícito,"6928"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ESB66786617,959800FW7XRFVC6YR669,"PAYXPERT SPAIN SL","AVDA DIAGONAL, 440, 08037, BARCELONA",No,Sí,No,,No,Explícito,"6922"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ES6707,9598007HK1GFFYZRGJ06,"Pecunia Cards E.D.E. S.L","AVDA DE BRUSELAS, 35, 28108, ALCOBENDAS",No,Sí,No,,No,Explícito,"6707"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ESB82679929,959800HVRBYT864FTE08,"PMI GROUP EUROPE, S.L.","PS CASTELLANA, 91, 28046, MADRID",No,Sí,No,,Sí,Explícito,"6924"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ESB53572384,959800821KKKELEKG992,"PREMIUM NUMBERS SL","CRONISTA CARRERES 13 6, 46003, VALENCIA",No,Sí,No,,Sí,Explícito,"6914"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ESB88132618,959800DT7H1W9BVGUD32,"PROSEGUR SERVICIOS DE PAGO EP, S.L.","CL PAJARITOS, 24, 28007, MADRID",No,Sí,No,,No,Explícito,"6882"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ES1508,,"RCI Banque, S.A., Sucursal en España","AV. DE EUROPA, 1, 28108, ALCOBENDAS",No,Sí,Sí,,No,Implícito,"1508"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ESB06853055,959800GXPLKMWL03GL34,"REMITTVEN SL","PASEO DE LA CASTELLANA, 53, 28046, MADRID",No,Sí,No,,Sí,Explícito,"6917"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ES0083,213800IMKAUV5KW28586,"Renta 4 Banco, S.A.","Ps de la Habana, 74, 28036, Madrid",No,Sí,No,,No,Implícito,"0083"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ESB67233817,9845000FF85FBF1REF68,"REVOLUPAY EP, S.L.","CALLE VALLESPIR, 19, EDIFICIO OCTAVIA, 1ª PLANTA, 08173, SANT CUGAT DEL VALLES",No,Sí,No,,No,Explícito,"6900"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ES1583,,"REVOLUT BANK UAB SUCURSAL EN ESPAÑA","CL PRÍNCIPE DE VERGARA, 132, 28002, MADRID",No,Sí,No,,No,Implícito,"1583"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ESA80696792,959800MZ9RKV1PTRP895,"RIA PAYMENT INSTITUTION, EP, S.A.","CL CANTABRIA, EDF. AMURA, 2 PL. 2, PTA. 1-A, 28108, ALCOBENDAS",No,Sí,No,,No,Explícito,"6842"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ES1584,52990074IOX35Q3SX566,"RIVERBANK SA SUCURSAL EN ESPAÑA","CL BOTIGUERS, 3, 46988, PATERNA",No,Sí,No,,No,Implícito,"1584"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ES3138,95980020140005310054,"Ruralnostra, Sociedad Cooperativa de Crédito Valenciana","PZ MAYOR, 2, 12549, BETXI",No,Sí,No,,No,Implícito,"3138"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ES0242,959800EPV2YFDAY45075,"Sabadell Consumer Finance, S.A.","CL SENA, 12, 08190, SANT CUGAT DEL VALLES",No,Sí,No,,No,Implícito,"0242"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ES0224,5493000LM0MZ4JPMGM90,"Santander Consumer Finance, S.A.","Av de Cantabria, sn, 28660, Boadilla del Monte",No,Sí,No,,No,Implícito,"0224"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ES0036,959800PF0SJV8TSAB140,"Santander Investment, S.A.","AV DE CANTABRIA, SN, 28660, BOADILLA DEL MONTE",No,Sí,No,,No,Implícito,"0036"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ESA09641549,959800SPFKHC82CG1283,"SANTANDER MAPFRE HIPOTECA INVERSA, E.F.C., SA","CL JUAN IGNACIO LUCA DE TENA, 11, 28027, MADRID",No,Sí,No,,No,Explícito,"8845"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ES6705,959800ZZJ1QDK3A3J210,"Sefide, E.D.E. S.L.","AVENIDA DE LA CIENCIA, 2, 18006, Granada",No,Sí,No,,No,Explícito,"6705"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ES8795,5493009TO08H2XXXHQ45,"Servicios Financieros Carrefour, E.F.C., S.A.","CARRETERA  NACIONAL I, KM. 14,500, 28108, Alcobendas",No,Sí,No,,No,Implícito,"8795"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ESB16581282,959800FHCYS14PKLMU53,"SHEFFIELD VENTURES, S.L.","CL BARTOLOME FERRA, 3 4, 07002, PALMA",No,Sí,No,,No,Explícito,"6885"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ESB16992182,894500MZFU10TLAC8M34,"SILBO MONEY EDE SL","HOCES DE HERMIDA, 140, 28023, MADRID",No,Sí,No,,No,Explícito,"6729"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ES1490,95980020140005419373,"Singular Bank, S.A.","CALLE GOYA, 11, 28001, Madrid",No,Sí,No,,No,Implícito,"1490"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ESA87992681,9598005DH30M240VY927,"SISTEMA DE TARJETAS Y MEDIOS DE PAGO, S.A.","C/ JOSE BARDASANO BAOS, 9, 28016, MADRID",Sí,Sí,No,,No,Implícito,"9043"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ES1551,,"SMBC Bank EU AG, Sucursal en España","Cl Pedro Teixeira, 8, 28001, Madrid",No,Sí,Sí,,No,Implícito,"1551"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ES8816,959800P6S3H69X9X3954,"Sociedad Conjunta para la Emisión y Gestión de Medios de Pago, E.F.C., S.A","Cl O'Donell, 12, 28009, Madrid",No,Sí,No,,No,Implícito,"8816"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ESA82814211,959800H1RHMMQY9C0N54,"SOCIEDAD ESPAÑOLA DE SISTEMAS DE PAGO, S.A.","C/ MARQUES DE VILLAMAGNA 6 - PLANTA 3ª, 28001, Madrid",Sí,Sí,No,,No,Implícito,"9020"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ES0108,,"Société Genérale, Sucursal en España","Pz Pablo Ruiz Picasso, 1, 28020, Madrid",No,Sí,No,,No,Implícito,"0108"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ES1578,529900CZTB6BW0KTXF98,"SOLARIS SE, SUCURSAL EN ESPAÑA","PS DE RECOLETOS, 5, 28004, MADRID",No,Sí,No,,No,Implícito,"1578"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ESA79707345,959800Q3N11MW9GC5768,"SOLRED, S.A.","CL MENDEZ ALVARO, 44, 28045, MADRID",No,Sí,No,,No,Explícito,"6871"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ESB88636097,959800XX23S3T2DCBE14,"SOMOSPY, S.L.","CL DE LOS ARTISTAS,19, 28020, MADRID",No,Sí,No,,Sí,Explícito,"6909"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ESB67332775,959800GV3CG9C0N0S145,"SPLIT PAYMENTS SOCIEDAD LIMITADA","CL TARRAGONA, 157, 08014, BARCELONA",No,Sí,No,,No,Explícito,"6920"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ES6724,254900C3E65C6T1QH416,"SWAN IO SUCURSAL EN ESPAÑA","CL PAU CLARIS, 92, 08010, BARCELONA",No,Sí,No,,No,Explícito,"6724"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ESB86766292,529900XM5E30OOY0PU19,"TESORALIA SL","SEGOVIA 47, 2, I, 28005, MADRID",No,Sí,No,,No,Explícito,"6897"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ES1585,,"TF BANK AB SUCURSAL EN ESPAÑA","CL MARQUÉS DE LARIOS, 7, 29015, MALAGA",No,Sí,No,,No,Implícito,"1585"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ES1573,213800P3JRGG54CW4H38,"The Bank of New York Mellon SA/SV, S.E","Cl JOSÉ ABASCAL, 45, 28003, Madrid",No,Sí,Sí,,No,Implícito,"1573"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ES1570,,"The Governor and Company of the Bank of Ireland, Sucursal en España","PS DE LA CASTELLANA, 42, 28046, MADRID",No,Sí,Sí,,No,Implícito,"1570"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ESA50968460,95980020140005817752,"TITANES TELECOMUNICACIONES, S.A.","CL RAMON Y CAJAL, 11-13, 50004, ZARAGOZA",No,Sí,No,,No,Explícito,"6845"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ES1487,,"Toyota Kreditbank GmbH, Sucursal en España","AV DE BRUSELAS, 22, 28108, ALCOBENDAS",No,Sí,Sí,,No,Implícito,"1487"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ES1586,,"TRADE REPUBLIC BANK GMBH SUCURSAL EN ESPAÑA","CL VELÁZQUEZ, 50, 28001, MADRID",No,Sí,No,,No,Implícito,"1586"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ESA83085217,959800BDYPUT84ZJJP96,"TRANS FAST FINANCIAL SERVICES, S.A.","CL BATALLA DEL SALADO, 25, 28045, MADRID",No,Sí,No,,No,Explícito,"6813"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ESA86441011,9845004438D7B3H89C21,"TRANSFERZERO MONEY TRANSFER ENTIDAD DE PAGO, S.A.","PASEO DE LA CASTELLANA, 43, 28046, MADRID",No,Sí,No,,No,Explícito,"6854"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ES6721,9598003BYPZCBMEYQ040,"TREEZOR S.A.S., SUCURSAL EN ESPAÑA","PZA PABLO RUIZ PICASSO, 1, 28020, MADRID",No,Sí,Sí,,No,Explícito,"6721"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ES1491,,"Triodos Bank, N.V., S.E.","CL JOSÉ ECHEGARAY, 5, 28230, LAS ROZAS DE MADRID",No,Sí,No,,No,Implícito,"1491"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ES1460,,"UBS AG, SUCURSAL EN ESPAÑA","CL AYALA, 42, 28001, MADRID",No,Sí,No,,No,Implícito,"1460"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
